x,y,variable,colour
NA,0,1tarball,black
838,0.103,1tarball,red
1676,0.206,1tarball,black
3352,0.412,1tarball,black
6704,0.843,1tarball,black
13408,1.64,1tarball,black
26816,3.281,1tarball,black
53632,6.562,1tarball,black
NA,0,2bridgedb,black
838,0.0833,2bridgedb,red
1676,0.1833,2bridgedb,black
3352,0.3833,2bridgedb,black
6704,0.7666,2bridgedb,black
13408,1.5833,2bridgedb,black
26816,3.3,2bridgedb,black
53632,6.283,2bridgedb,black
NA,0,3metricsdb,black
838,0.583,3metricsdb,red
1676,1.366,3metricsdb,black
3352,3.816,3metricsdb,black
6704,7.9,3metricsdb,black
13408,20.216,3metricsdb,black
26816,44.75,3metricsdb,black
